seq,Q2,Q3,Q5_R1,Q5_R2,Q5_R3,Q5_R4,Q5_R5,Q5_R6,Q5_R7,Q5_R8,Q5_R9,Q5_R10,Q5_R11,Q5_R12,Q5_R13,Q5_R14,Q5_R15,Q5_R16,Q5_R17,Q5_R18,Q5_R19,Q5_R20,Q5_R21,Q5_R22,Q5_R23,Q5_R24,Q5_R25,Q5_R26,Q5_R28,Q6_R1,Q6_R2,Q6_R3,Q6_R4,Q6_R5,Q6_R10,Q6_R6,Q6_R7,Q6_R8
38,1,2,2,1,2,2,2,1,3,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,3,3,1,2
39,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,4,1,1
40,2,2,3,4,4,3,3,3,4,2,4,5,5,4,5,3,4,3,2,2,3,4,2,3,4,3,3,4,4,2,3,1,4,2,3,2,3,2
41,2,2,2,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,3,3,1,1
42,1,2,3,4,3,3,2,4,3,2,4,3,1,1,1,3,3,2,4,2,3,1,2,4,3,3,3,1,1,2,3,2,2,1,3,2,1,1
43,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,4,1,1
44,2,2,2,1,3,2,2,2,1,3,3,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,2,2,2,2,3,2,3,3,2,1
45,1,2,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,2,1,2,2,3,2,1,3,3,1,2,2
46,2,2,2,1,3,2,3,2,1,5,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,2,3,2,3,4,2,2
47,2,2,1,2,2,2,3,2,3,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,2,2,1,3,2,3,3,2,1
48,1,2,3,1,2,1,2,1,1,1,3,1,1,1,1,2,2,2,2,1,1,1,1,2,1,2,2,1,2,2,2,2,3,1,3,3,2,1
49,1,2,3,2,4,5,3,3,2,2,4,4,3,3,2,2,2,2,2,2,2,3,2,5,2,3,1,3,2,3,2,2,1,2,3,2,3,2
50,2,2,2,1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,4,3,3,3,1,1
51,1,2,1,1,2,1,3,1,1,2,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,4,1,3,3,1,1
52,1,2,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,1,3,4,1,1
53,1,2,2,2,2,3,3,1,1,3,2,1,1,4,1,1,2,3,1,2,1,1,1,1,1,1,1,2,2,1,2,2,3,1,3,3,1,1
54,2,2,3,1,3,2,1,1,2,4,3,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,2,2,2,1,2,3,1,3,3,1,1
55,1,2,1,1,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1
